"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-12-01","283","8f1c250b-567b-4e8e-a1b7-4d815f01393f","lc","LC控制通信丢失","1/12/2025 06:22:32","1/12/2025 06:22:41"
"2025-12-01","283","f953e336-aaed-43b6-bd12-0e299326b7d6","lc","LC控制通信丢失","1/12/2025 06:22:32","1/12/2025 06:22:43"
"2025-12-01","283","1064e904-1a3c-4696-a2d5-2492f9e73f0b","lc","LC控制通信丢失","1/12/2025 06:22:32","1/12/2025 06:22:42"
"2025-12-02","253","8aa6b461-e1d9-4a94-a684-0741fa24c7d8","pcs","交流母线欠压","2/12/2025 00:24:42","2/12/2025 00:24:52"
"2025-12-02","253","493f9325-1ddd-4ced-b695-ff30a4b86214","pcs","交流母线欠压","2/12/2025 00:24:43","2/12/2025 00:24:53"
"2025-12-02","253","af405a6d-3bad-4ecf-afbb-ead7243ff250","pcs","交流母线欠压","2/12/2025 00:24:44","2/12/2025 00:24:52"
"2025-12-02","253","2c046a06-54a4-4769-b598-989f15ec0715","pcs","交流母线欠压","2/12/2025 00:24:44","2/12/2025 00:24:54"
"2025-12-02","253","677b95c4-6291-4262-805f-3d744176e3cb","pcs","交流母线欠压","2/12/2025 00:24:41","2/12/2025 00:24:51"
"2025-12-02","253","154a2891-e037-4083-a27b-784d32b39bea","pcs","交流母线欠压","2/12/2025 00:24:43","2/12/2025 00:24:51"
"2025-12-02","253","a32ec94c-fdce-4ae4-a271-2baa61fcc201","pcs","交流母线欠压","2/12/2025 00:45:55","2/12/2025 00:46:06"
"2025-12-02","253","cda72e05-72be-480d-b52f-38a3fdb3b6db","pcs","交流母线欠压","2/12/2025 00:45:55","2/12/2025 00:46:04"
"2025-12-02","218","8942322a-f6b1-4ef8-a858-41c4bc1a3d06","pcs","交流母线欠压","2/12/2025 00:45:55","2/12/2025 00:47:48"
"2025-12-02","253","cac4e606-ca8f-4bb9-86fa-3fe0d7f65efe","pcs","交流母线欠压","2/12/2025 00:45:55","2/12/2025 00:46:06"
"2025-12-02","218","c1693474-395e-408b-938a-a51fa5bd61f9","pcs","交流母线欠压","2/12/2025 00:45:58","2/12/2025 00:47:47"
"2025-12-02","253","9c94a96c-9498-4123-963d-3d0cf0266b71","pcs","交流母线欠压","2/12/2025 00:45:53","2/12/2025 00:46:03"
"2025-12-02","253","3b5c0a52-ab3b-4e4d-883d-1b2fcd1635e0","pcs","交流母线欠压","2/12/2025 00:45:55","2/12/2025 00:46:05"
"2025-12-02","253","75bfdacc-2173-42b1-ad08-f348a432004b","pcs","交流母线欠压","2/12/2025 00:45:54","2/12/2025 00:46:05"
"2025-12-02","218","24331715-caa7-4b3d-a714-68f5f8cc5ee7","meter","变压器侧电表通讯丢失","2/12/2025 00:46:02","2/12/2025 00:47:14"
