"name","gatewayId","ratedPower","installedCapacity"
"simulated power station","17ffa8ccc8ea408OyaZp","200","460"
"龙山测试2台并柜电站","a0a96a2950464fcFF6Di","240","460"
"德业龙山1号","0508743a2df541ai07MR","200","460"
"浩生产预览电站","597966defb3a4385xxLz","100","230"
"EM-1000盒子的电站","f4e247c9293146bwnbwn","0","0"
"EMS研发部测试EM1000","df1f83a189c94528ndRs","200","430"
"德业龙山2号","c3beb955a08b432tBUQU","1100","2150"
"美能-喜尔美测试电站","51609f018fb3438rYv4E","1100","2150"
"G430","18171df6159e4e6uVB1X","220","430"
"喜尔美厨具站","4152b5fc224a4d21c0dM","880","1720"
"喜尔美厨具站","9351094114fb4aaEfjCH","440","860"
"喜尔美厨具站","5b32b197c0f64ee81zdX","330","645"
"喜尔美厨具站","3e7cb3021c9d4acO2qgI","330","645"
"科宁达站","908336fb729f41dLNHOn","200","430"
"隆源二厂储能电站","5cd30ba3fe16485PwKl6","400","860"
"隆源二厂储能电站","631a7b2d1ac2472eJ8Li","300","645"
"宁波依森200KW/430KWh用户侧储能电站","9d4580866b43490MhUNG","200","430"
"台州梦龙家居站（200KW/430KWh）","f5be6315eaba418iu7Np","200","430"
"力庆机械储能电站","a0c3321349c8463ABQwk","300","645"
"宁盛钢管储能电站","1656943202bd487QswHc","300","645"
"宁盛钢管储能电站","ccf582197c55441Pth8p","100","215"
"甬微集团","d7932fcc7b0541eXaGPS","500","1075"
"甬微集团","2fa5130a10a4438DYxah","500","1075"
"甬微集团","f2531eb5d21c40cKykPd","500","1075"
"金华美铂拉储能电站","fa8fe53362b14c2vht2F","200","430"
"金华美铂拉储能电站","886d54a1d6cc4c94uiq7","100","215"
"德业北仑总部储能电站","98455bcf3a3d40bf8bzh","400","860"
"德业北仑总部储能电站","83a38969a94144bUomUb","400","860"
"德业北仑总部储能电站","77054e39873e4bewcYBr","200","430"
"好点烟具储能电站","056a847bc7604734Ma6X","200","430"
"好点烟具储能电站","3d0dda8d350e4ddBeefy","400","860"
"亚太化纤储能电站","2c0a5843e02c4e45FeVC","100","215"
"亚太化纤储能电站","ec78ee51deef471H8N9p","200","430"
"柏世嘉储能电站","dfa4fd4acccd4792a757d06507ae02bd","200","430"
"G230","007bba5f6e91454PPmrd","0","0"
"台州美豪科技储能电站","26d5340e1e654fb0859925f2139f3553","100","215"
"辉旺机械储能电站","868c102e473b45ac86b5cb7237fb90a3","200","430"
"辉旺机械储能电站","81eaa9ecb5fb48adbb6126b3f9e07991","300","645"
"广东惠州力王800kW/1720kWh储能电站","5bbe3cae70a6441f95c7fc9e0c3076f5","400","860"
"广东惠州力王800kW/1720kWh储能电站","a9eb66ce67f747c88033a55bec8145ed","400","860"
