电站ID,电站名称,日期,最小SOC(%),最大SOC(%),SOC波动(%),平均SOC(%),数据点数,原因
173,"德业龙山2号",2025-10-02,99.19,100.00,0.81,99.73,2879,"SOC无变化"
173,"德业龙山2号",2025-10-03,100.00,100.00,0.00,100.00,2880,"SOC无变化"
173,"德业龙山2号",2025-10-05,100.00,100.00,0.00,100.00,2880,"SOC无变化"
173,"德业龙山2号",2025-11-10,5.00,5.00,0.00,5.00,240,"SOC无变化"
208,"科宁达站",2025-10-02,100.00,100.00,0.00,100.00,2880,"SOC无变化"
212,"隆源二厂储能电站",2025-10-02,99.23,100.00,0.77,99.89,11520,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2025-10-02,99.10,100.00,0.90,99.70,2881,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2025-10-03,100.00,100.00,0.00,100.00,2880,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2025-10-04,100.00,100.00,0.00,100.00,2880,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2025-10-05,100.00,100.00,0.00,100.00,2882,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2025-10-06,100.00,100.00,0.00,100.00,2880,"SOC无变化"
218,"宁波依森200KW/430KWh用户侧储能电站",2026-01-02,100.00,100.00,0.00,100.00,2880,"SOC无变化"
223,"台州梦龙家居站（200KW/430KWh）",2025-10-02,100.00,100.00,0.00,100.00,2880,"SOC无变化"
223,"台州梦龙家居站（200KW/430KWh）",2025-10-22,99.15,99.15,0.00,99.15,49,"SOC无变化"
231,"力庆机械储能电站",2025-10-02,100.00,100.00,0.00,100.00,2880,"SOC无变化"
231,"力庆机械储能电站",2025-10-03,100.00,100.00,0.00,100.00,2880,"SOC无变化"
233,"宁盛钢管储能电站",2025-10-02,100.00,100.00,0.00,100.00,8639,"SOC无变化"
233,"宁盛钢管储能电站",2025-10-03,100.00,100.00,0.00,100.00,8638,"SOC无变化"
268,"亚太化纤储能电站",2025-09-15,30.75,30.80,0.05,30.76,9,"SOC无变化"
276,"柏世嘉储能电站",2025-10-02,100.00,100.00,0.00,100.00,2879,"SOC无变化"
276,"柏世嘉储能电站",2025-12-10,100.00,100.00,0.00,100.00,2880,"SOC无变化"
276,"柏世嘉储能电站",2025-12-11,100.00,100.00,0.00,100.00,2880,"SOC无变化"
276,"柏世嘉储能电站",2025-12-12,100.00,100.00,0.00,100.00,2880,"SOC无变化"
276,"柏世嘉储能电站",2025-12-13,100.00,100.00,0.00,100.00,2868,"SOC无变化"
276,"柏世嘉储能电站",2025-12-14,100.00,100.00,0.00,100.00,2882,"SOC无变化"
282,"台州美豪科技储能电站",2025-11-10,100.00,100.00,0.00,100.00,5760,"SOC无变化"
282,"台州美豪科技储能电站",2025-12-06,100.00,100.00,0.00,100.00,5760,"SOC无变化"
282,"台州美豪科技储能电站",2025-12-07,100.00,100.00,0.00,100.00,5760,"SOC无变化"
