"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-09-01","238","4d6753b1-64c1-41cf-bcae-00ed3d6750db","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 07:48:43","1/9/2025 07:49:53"
"2025-09-01","238","4f268336-27b9-462c-94fa-cc8072e68d4c","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 07:48:43","1/9/2025 07:49:55"
"2025-09-01","238","960c0cb7-7a6a-4939-9f12-7a89c0c8e394","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 07:49:54","1/9/2025 07:49:58"
"2025-09-01","238","c2870e7b-e2d8-480a-9575-44959d15ab68","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 07:49:54","1/9/2025 07:49:59"
"2025-09-01","238","9f5b1f62-c939-404a-8e4e-e505dad7cdf8","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 08:13:19","1/9/2025 08:13:23"
"2025-09-01","238","321efa01-c048-4ab7-a16c-ca950500cc8d","ems","高压电表数据 udp 广播接收超时异常","1/9/2025 08:13:19","1/9/2025 08:13:25"
"2025-08-31","212","b8c14a7e-e7a6-4404-82cf-1650b4ddffb8","ems","云平台通讯丢失","31/8/2025 17:36:59","1/9/2025 17:05:59"
"2025-08-31","212","2d160747-cff6-48f9-9214-45fcd54612ef","ems","云平台通讯丢失","31/8/2025 17:36:12","1/9/2025 17:06:14"
"2025-09-03","238","4529d967-3bee-4200-a41e-399783db52db","lc","QF2（电池簇）反馈","3/9/2025 03:35:10","3/9/2025 07:55:10"
"2025-09-03","238","ade50c5d-1e59-4c76-b3cb-46a480ae731f","ac","空调通讯丢失","3/9/2025 07:09:04","3/9/2025 07:09:16"
"2025-09-03","238","88a8fe8e-b88d-478e-94b2-9ca04a711eb4","lc","QF1（电网）反馈","3/9/2025 07:53:58","3/9/2025 07:55:10"
"2025-09-03","238","8f309ec1-0462-46b2-8b02-9ef977838b96","lc","LC控制通信丢失","3/9/2025 07:54:08","3/9/2025 07:55:01"
"2025-09-03","238","d6e17960-36c7-4a0f-9970-6313ef181245","lc","LC控制通信丢失","3/9/2025 07:54:08","3/9/2025 07:54:19"
"2025-09-03","238","6f9b2e79-cae4-486f-be47-74803f3520ad","lc","LC控制通信丢失","3/9/2025 07:54:08","3/9/2025 07:54:20"
"2025-09-03","238","8f5516f9-1ae9-446f-8821-8403efc164ac","lc","LC控制通信丢失","3/9/2025 07:54:08","3/9/2025 07:54:21"
"2025-09-03","238","fbef1a5a-90cc-4356-babf-d2598d7e41a0","lc","LC控制通信丢失","3/9/2025 07:54:14","3/9/2025 07:54:18"
