"device_id","device_name","device_model","name","station_id"
"17ffa8ccc8ea408OyaZp","mockprod1","m0000001","simulated power station","1"
"0508743a2df541ai07MR","001497514c91","m0000001","德业龙山1号","60"
"f4e247c9293146bwnbwn","0014970f01c6","m0000001","EM-1000盒子的电站","147"
"df1f83a189c94528ndRs","001497514cea","m0000001","EMS研发部测试EM1000","159"
"c3beb955a08b432tBUQU","001497515e08","m0000001","德业龙山2号","173"
"51609f018fb3438rYv4E","d6fe760b5aa4","m0000001","美能-喜尔美测试电站","179"
"18171df6159e4e6uVB1X","001497514c40","m0000001","G430","194"
"3e7cb3021c9d4acO2qgI","00149751c3c4","m0000001","喜尔美厨具站","205"
"5b32b197c0f64ee81zdX","001497515e17","m0000001","喜尔美厨具站","205"
"4152b5fc224a4d21c0dM","001497515e24","m0000001","喜尔美厨具站","205"
"9351094114fb4aaEfjCH","001497515e1d","m0000001","喜尔美厨具站","205"
"908336fb729f41dLNHOn","00149751c39b","m0000001","科宁达站","208"
"5cd30ba3fe16485PwKl6","0014975147c7","m0000001","隆源二厂储能电站","212"
"631a7b2d1ac2472eJ8Li","0014975147dc","m0000001","隆源二厂储能电站","212"
"9d4580866b43490MhUNG","00149751c34a","m0000001","宁波依森200KW/430KWh用户侧储能电站","218"
"f5be6315eaba418iu7Np","001497514cf8","m0000001","台州梦龙家居站（200KW/430KWh）","223"
"a0c3321349c8463ABQwk","0014975147d7","m0000001","力庆机械储能电站","231"
"1656943202bd487QswHc","001497514cbf","m0000001","宁盛钢管储能电站","233"
"ccf582197c55441Pth8p","00149751c393","m0000001","宁盛钢管储能电站","233"
"2fa5130a10a4438DYxah","0014975f6987","m0000001","甬微集团","238"
"d7932fcc7b0541eXaGPS","0014975f6735","m0000001","甬微集团","238"
"f2531eb5d21c40cKykPd","0014975f6733","m0000001","甬微集团","238"
"886d54a1d6cc4c94uiq7","0014975f68e5","m0000001","金华美铂拉储能电站","240"
"fa8fe53362b14c2vht2F","001497515e7e","m0000001","金华美铂拉储能电站","240"
"98455bcf3a3d40bf8bzh","001497514ca4","m0000001","德业北仑总部储能电站","245"
"83a38969a94144bUomUb","001497514c35","m0000001","德业北仑总部储能电站","245"
"77054e39873e4bewcYBr","001497515e77","m0000001","德业北仑总部储能电站","245"
"056a847bc7604734Ma6X","001497514cdc","m0000001","好点烟具储能电站","253"
"3d0dda8d350e4ddBeefy","0014975f6720","m0000001","好点烟具储能电站","253"
"ec78ee51deef471H8N9p","00149751c2ee","m0000001","亚太化纤储能电站","268"
"2c0a5843e02c4e45FeVC","001497514bce","m0000001","亚太化纤储能电站","268"
"dfa4fd4acccd4792a757d06507ae02bd","0014976c15f2","m0000001","柏世嘉储能电站","276"
"007bba5f6e91454PPmrd","001497515e3e","m0000001","G230","278"
"26d5340e1e654fb0859925f2139f3553","0014976c179d","m0000001","台州美豪科技储能电站","282"
"81eaa9ecb5fb48adbb6126b3f9e07991","0014976c3f64","m0000001","辉旺机械储能电站","283"
"868c102e473b45ac86b5cb7237fb90a3","001497514bc2","m0000001","辉旺机械储能电站","283"
"5bbe3cae70a6441f95c7fc9e0c3076f5","0014976c15e3","m0000001","广东惠州力王800kW/1720kWh储能电站","287"
"a9eb66ce67f747c88033a55bec8145ed","0014976c14af","m0000001","广东惠州力王800kW/1720kWh储能电站","287"
