电站id,电站名称,货币单位,日期,预期收益,实际收益
173,德业龙山2号,CNY,2026-01-13,3274.7,2109.72
173,德业龙山2号,CNY,2026-01-12,3274.7,2438.96
173,德业龙山2号,CNY,2026-01-11,3274.7,1723.44
173,德业龙山2号,CNY,2026-01-10,3274.7,2317.7
173,德业龙山2号,CNY,2026-01-09,3274.7,2122.59
173,德业龙山2号,CNY,2026-01-08,3274.7,2596.29
173,德业龙山2号,CNY,2026-01-07,3274.7,2671.32
173,德业龙山2号,CNY,2026-01-06,3274.7,3271.58
173,德业龙山2号,CNY,2026-01-05,3274.7,3413.03
173,德业龙山2号,CNY,2026-01-04,3274.7,2469.09
173,德业龙山2号,CNY,2026-01-03,3274.7,1724.76
173,德业龙山2号,CNY,2026-01-02,3274.7,1496.73
173,德业龙山2号,CNY,2026-01-01,3274.7,2229.75
173,德业龙山2号,CNY,2025-12-31,3531.09,2439.69
173,德业龙山2号,CNY,2025-12-30,3531.09,3502.85
173,德业龙山2号,CNY,2025-12-29,3531.09,1878.54
173,德业龙山2号,CNY,2025-12-28,3531.09,2002.12
173,德业龙山2号,CNY,2025-12-27,3531.09,2158.51
173,德业龙山2号,CNY,2025-12-26,3531.09,2080.45
173,德业龙山2号,CNY,2025-12-25,3531.09,2487.4
173,德业龙山2号,CNY,2025-12-24,3531.09,3653.6
173,德业龙山2号,CNY,2025-12-23,3531.09,3350.28
173,德业龙山2号,CNY,2025-12-22,3531.09,2658.05
173,德业龙山2号,CNY,2025-12-21,3531.09,3491.21
173,德业龙山2号,CNY,2025-12-20,3531.09,3478.09
173,德业龙山2号,CNY,2025-12-19,3531.09,3108.45
173,德业龙山2号,CNY,2025-12-18,3531.09,2927.74
173,德业龙山2号,CNY,2025-12-17,3531.09,3375.92
173,德业龙山2号,CNY,2025-12-16,3531.09,3485.35
173,德业龙山2号,CNY,2025-12-15,3531.09,2473.32
173,德业龙山2号,CNY,2025-12-14,3531.09,2265.95
173,德业龙山2号,CNY,2025-12-13,3531.09,3492.41
173,德业龙山2号,CNY,2025-12-12,3531.09,3582.51
173,德业龙山2号,CNY,2025-12-11,3531.09,2602.18
173,德业龙山2号,CNY,2025-12-10,3531.09,2649.71
173,德业龙山2号,CNY,2025-12-09,3531.09,2687.72
173,德业龙山2号,CNY,2025-12-08,3531.09,3501.38
173,德业龙山2号,CNY,2025-12-07,3531.09,2478.33
173,德业龙山2号,CNY,2025-12-06,3531.09,2681.94
173,德业龙山2号,CNY,2025-12-05,3531.09,3487.06
173,德业龙山2号,CNY,2025-12-04,3531.09,2612.74
173,德业龙山2号,CNY,2025-12-03,3531.09,3488.08
173,德业龙山2号,CNY,2025-12-02,3531.09,3518.97
173,德业龙山2号,CNY,2025-12-01,5076.05,2342.47
173,德业龙山2号,CNY,2025-11-30,3166.49,1304.48
173,德业龙山2号,CNY,2025-11-29,3166.49,1821.2
173,德业龙山2号,CNY,2025-11-28,3166.49,1807.01
173,德业龙山2号,CNY,2025-11-27,3166.49,1960.63
173,德业龙山2号,CNY,2025-11-26,3166.49,1674.45
173,德业龙山2号,CNY,2025-11-25,3166.49,1581.49
173,德业龙山2号,CNY,2025-11-24,3166.49,2629.91
173,德业龙山2号,CNY,2025-11-23,3166.49,1211.81
173,德业龙山2号,CNY,2025-11-22,3166.49,1708.03
173,德业龙山2号,CNY,2025-11-21,3166.49,1616.9
173,德业龙山2号,CNY,2025-11-20,3166.49,1479.55
173,德业龙山2号,CNY,2025-11-19,3166.49,1604.37
173,德业龙山2号,CNY,2025-11-18,3166.49,1748.94
173,德业龙山2号,CNY,2025-11-17,3166.49,2785.98
173,德业龙山2号,CNY,2025-11-16,3166.49,1393.04
173,德业龙山2号,CNY,2025-11-15,3166.49,1547.39
173,德业龙山2号,CNY,2025-11-14,3166.49,1679.12
173,德业龙山2号,CNY,2025-11-13,3166.49,2551.31
173,德业龙山2号,CNY,2025-11-12,3166.49,2851.26
173,德业龙山2号,CNY,2025-11-11,2705.43,2507.54
173,德业龙山2号,CNY,2025-11-10,2935.96,-20.53
173,德业龙山2号,CNY,2025-11-09,2935.96,-22.46
173,德业龙山2号,CNY,2025-11-08,2935.96,1702.78
173,德业龙山2号,CNY,2025-11-07,2857.82,2554.39
173,德业龙山2号,CNY,2025-11-06,976.46,1067.48
173,德业龙山2号,CNY,2025-11-05,3019.2,2805.68
173,德业龙山2号,CNY,2025-11-04,3846.79,2820.76
173,德业龙山2号,CNY,2025-10-31,2927.71,2583.14
173,德业龙山2号,CNY,2025-10-30,2927.71,2561.08
173,德业龙山2号,CNY,2025-10-29,2927.71,1284.09
173,德业龙山2号,CNY,2025-10-28,2927.71,2477.2
173,德业龙山2号,CNY,2025-10-27,2927.71,1896.41
173,德业龙山2号,CNY,2025-10-26,2927.71,2119.4
173,德业龙山2号,CNY,2025-10-25,2927.71,2560.65
173,德业龙山2号,CNY,2025-10-24,2927.71,2460.94
173,德业龙山2号,CNY,2025-10-23,2927.71,2559.64
173,德业龙山2号,CNY,2025-10-22,2927.71,2569.54
173,德业龙山2号,CNY,2025-10-21,2927.71,2585.45
173,德业龙山2号,CNY,2025-10-20,2927.71,2572.9
173,德业龙山2号,CNY,2025-10-19,2927.71,2555.12
173,德业龙山2号,CNY,2025-10-18,2927.71,2581.12
173,德业龙山2号,CNY,2025-10-17,2927.71,1664.2
173,德业龙山2号,CNY,2025-10-16,2927.71,2550.6
173,德业龙山2号,CNY,2025-10-15,2927.71,1316.92
173,德业龙山2号,CNY,2025-10-14,2927.71,2576.65
173,德业龙山2号,CNY,2025-10-13,2927.71,1755.15
173,德业龙山2号,CNY,2025-10-12,2927.71,1494.96
173,德业龙山2号,CNY,2025-10-11,2927.71,1431.95
173,德业龙山2号,CNY,2025-10-10,2927.71,1880.65
173,德业龙山2号,CNY,2025-10-09,2927.71,1733.42
173,德业龙山2号,CNY,2025-10-08,3167.94,1955.09
173,德业龙山2号,CNY,2025-10-07,3167.94,2468.13
173,德业龙山2号,CNY,2025-10-06,3167.94,432.52
173,德业龙山2号,CNY,2025-10-05,3167.94,-16.2
173,德业龙山2号,CNY,2025-10-04,3167.94,-39.66
173,德业龙山2号,CNY,2025-10-03,3167.94,0.53
173,德业龙山2号,CNY,2025-10-02,3167.94,-28.79
173,德业龙山2号,CNY,2025-10-01,3167.94,-577.19
173,德业龙山2号,CNY,2025-09-30,2898.47,2434.01
173,德业龙山2号,CNY,2025-09-29,2898.47,2103.07
173,德业龙山2号,CNY,2025-09-28,1429.16,1528.04
173,德业龙山2号,CNY,2025-09-27,2898.47,1848.26
173,德业龙山2号,CNY,2025-09-26,2898.47,1813.66
173,德业龙山2号,CNY,2025-09-25,2898.47,1808.57
173,德业龙山2号,CNY,2025-09-24,2898.47,2553.25
173,德业龙山2号,CNY,2025-09-23,2898.47,1666.24
173,德业龙山2号,CNY,2025-09-22,2898.47,1979.64
173,德业龙山2号,CNY,2025-09-21,2898.47,-17.18
173,德业龙山2号,CNY,2025-09-20,2898.47,-299.38
173,德业龙山2号,CNY,2025-09-19,2898.47,2514.56
173,德业龙山2号,CNY,2025-09-18,2898.47,2557.96
173,德业龙山2号,CNY,2025-09-17,2898.47,1186.55
173,德业龙山2号,CNY,2025-09-16,2898.47,1436.04
173,德业龙山2号,CNY,2025-09-15,2898.47,1518.44
173,德业龙山2号,CNY,2025-09-14,2898.47,1122.75
173,德业龙山2号,CNY,2025-09-13,2898.47,1609.09
173,德业龙山2号,CNY,2025-09-12,2898.47,1377.29
173,德业龙山2号,CNY,2025-09-11,2898.47,2488.2
173,德业龙山2号,CNY,2025-09-10,2898.47,2280.15
173,德业龙山2号,CNY,2025-09-09,2898.47,2526.27
173,德业龙山2号,CNY,2025-09-08,2898.47,1182.3
173,德业龙山2号,CNY,2025-09-07,2898.47,936.77
173,德业龙山2号,CNY,2025-09-06,2898.47,1257.45
173,德业龙山2号,CNY,2025-09-05,2898.47,1521.46
173,德业龙山2号,CNY,2025-09-04,2898.47,1786.35
173,德业龙山2号,CNY,2025-09-03,2898.47,1403.32
173,德业龙山2号,CNY,2025-09-02,2898.47,1548.51
173,德业龙山2号,CNY,2025-09-01,2898.47,1044.24
205,喜尔美厨具站,CNY,2026-01-13,6365.54,4883.6
205,喜尔美厨具站,CNY,2026-01-12,6365.54,4840.05
205,喜尔美厨具站,CNY,2026-01-11,6365.54,4763.41
205,喜尔美厨具站,CNY,2026-01-10,6365.54,4824.31
205,喜尔美厨具站,CNY,2026-01-09,6365.54,4918.76
205,喜尔美厨具站,CNY,2026-01-08,6365.54,4895.44
205,喜尔美厨具站,CNY,2026-01-07,6365.54,4671.97
205,喜尔美厨具站,CNY,2026-01-06,6365.54,4766.89
205,喜尔美厨具站,CNY,2026-01-05,6365.54,4841.63
205,喜尔美厨具站,CNY,2026-01-04,6365.54,4709.06
205,喜尔美厨具站,CNY,2026-01-03,6365.54,4846.26
205,喜尔美厨具站,CNY,2026-01-02,6365.54,4629.11
205,喜尔美厨具站,CNY,2026-01-01,6365.54,5492.38
205,喜尔美厨具站,CNY,2025-12-31,6780.13,4967.68
205,喜尔美厨具站,CNY,2025-12-30,6780.13,4851.24
205,喜尔美厨具站,CNY,2025-12-29,6780.13,5158.52
205,喜尔美厨具站,CNY,2025-12-28,6780.13,5315.79
205,喜尔美厨具站,CNY,2025-12-27,6780.13,5156.81
205,喜尔美厨具站,CNY,2025-12-26,6780.13,4944.53
205,喜尔美厨具站,CNY,2025-12-25,6780.13,5116.53
205,喜尔美厨具站,CNY,2025-12-24,6780.13,5123.19
205,喜尔美厨具站,CNY,2025-12-23,6780.13,4966.27
205,喜尔美厨具站,CNY,2025-12-22,6780.13,4949.57
205,喜尔美厨具站,CNY,2025-12-21,6780.13,4875.57
205,喜尔美厨具站,CNY,2025-12-20,6780.13,5549.88
205,喜尔美厨具站,CNY,2025-12-19,6780.13,4780.55
205,喜尔美厨具站,CNY,2025-12-18,6780.13,5123.32
205,喜尔美厨具站,CNY,2025-12-17,6780.13,5232.05
205,喜尔美厨具站,CNY,2025-12-16,6780.13,5650.2
205,喜尔美厨具站,CNY,2025-12-15,6780.13,5623.9
205,喜尔美厨具站,CNY,2025-12-14,6780.13,5394.22
205,喜尔美厨具站,CNY,2025-12-13,6780.13,5290.77
205,喜尔美厨具站,CNY,2025-12-12,6780.13,5330.38
205,喜尔美厨具站,CNY,2025-12-11,6780.13,5188.07
205,喜尔美厨具站,CNY,2025-12-10,6780.13,5035.15
205,喜尔美厨具站,CNY,2025-12-09,6780.13,4713.75
205,喜尔美厨具站,CNY,2025-12-08,6780.13,5571.44
205,喜尔美厨具站,CNY,2025-12-07,6780.13,5551.85
205,喜尔美厨具站,CNY,2025-12-06,6780.13,5481.62
205,喜尔美厨具站,CNY,2025-12-05,6780.13,5449.08
205,喜尔美厨具站,CNY,2025-12-04,6780.13,5526.7
205,喜尔美厨具站,CNY,2025-12-03,6780.13,5649.81
205,喜尔美厨具站,CNY,2025-12-02,6780.13,6032.46
205,喜尔美厨具站,CNY,2025-12-01,6780.13,4455.67
205,喜尔美厨具站,CNY,2025-11-30,6073.17,4499.69
205,喜尔美厨具站,CNY,2025-11-29,6073.17,4375.85
205,喜尔美厨具站,CNY,2025-11-28,6073.17,4545.33
205,喜尔美厨具站,CNY,2025-11-27,6073.17,4477.87
205,喜尔美厨具站,CNY,2025-11-26,6073.17,4575.79
205,喜尔美厨具站,CNY,2025-11-25,6073.17,4582.76
205,喜尔美厨具站,CNY,2025-11-24,6073.17,4812.42
205,喜尔美厨具站,CNY,2025-11-23,6073.17,4800.01
205,喜尔美厨具站,CNY,2025-11-22,6073.17,4718.71
205,喜尔美厨具站,CNY,2025-11-21,6073.17,4457.95
205,喜尔美厨具站,CNY,2025-11-20,6073.17,4461.08
205,喜尔美厨具站,CNY,2025-11-19,6073.17,4817.5
205,喜尔美厨具站,CNY,2025-11-18,6073.17,4701.82
205,喜尔美厨具站,CNY,2025-11-17,6073.17,4566.51
205,喜尔美厨具站,CNY,2025-11-16,6073.17,4475.35
205,喜尔美厨具站,CNY,2025-11-15,6073.17,4596.51
205,喜尔美厨具站,CNY,2025-11-14,6073.17,4610.84
205,喜尔美厨具站,CNY,2025-11-13,6073.17,3967.4
205,喜尔美厨具站,CNY,2025-11-12,6073.17,4308.32
205,喜尔美厨具站,CNY,2025-11-11,6073.17,4180.02
205,喜尔美厨具站,CNY,2025-11-10,6073.17,4576.27
205,喜尔美厨具站,CNY,2025-11-09,6073.17,4237.45
205,喜尔美厨具站,CNY,2025-11-08,6073.17,4720.41
205,喜尔美厨具站,CNY,2025-11-07,6073.17,4373.15
205,喜尔美厨具站,CNY,2025-11-06,6073.17,4171
205,喜尔美厨具站,CNY,2025-11-05,6073.17,4053.56
205,喜尔美厨具站,CNY,2025-11-04,6073.17,3987.26
205,喜尔美厨具站,CNY,2025-11-03,6073.17,3929.81
205,喜尔美厨具站,CNY,2025-11-02,6073.17,4262.76
205,喜尔美厨具站,CNY,2025-11-01,6073.17,4407.8
205,喜尔美厨具站,CNY,2025-10-31,5685.89,4330.4
205,喜尔美厨具站,CNY,2025-10-30,5685.89,3999.86
205,喜尔美厨具站,CNY,2025-10-29,5685.89,3991.36
205,喜尔美厨具站,CNY,2025-10-28,5685.89,3806.18
205,喜尔美厨具站,CNY,2025-10-27,5685.89,4227.96
205,喜尔美厨具站,CNY,2025-10-26,5685.89,4014.92
205,喜尔美厨具站,CNY,2025-10-25,5685.89,3889.03
205,喜尔美厨具站,CNY,2025-10-24,5685.89,3469.79
205,喜尔美厨具站,CNY,2025-10-23,5685.89,4210.1
205,喜尔美厨具站,CNY,2025-10-22,5685.89,4467.28
205,喜尔美厨具站,CNY,2025-10-21,5685.89,3689.59
205,喜尔美厨具站,CNY,2025-10-20,5685.89,4199.14
205,喜尔美厨具站,CNY,2025-10-19,5685.89,4133.83
205,喜尔美厨具站,CNY,2025-10-18,5685.89,3891.66
205,喜尔美厨具站,CNY,2025-10-17,5685.89,3733
205,喜尔美厨具站,CNY,2025-10-16,5685.89,3710.94
205,喜尔美厨具站,CNY,2025-10-15,5685.89,3917.65
205,喜尔美厨具站,CNY,2025-10-14,5685.89,3663.37
205,喜尔美厨具站,CNY,2025-10-13,5685.89,3684.18
205,喜尔美厨具站,CNY,2025-10-12,5685.89,4068.06
205,喜尔美厨具站,CNY,2025-10-11,5685.89,4044.66
205,喜尔美厨具站,CNY,2025-10-10,5685.89,3810.67
205,喜尔美厨具站,CNY,2025-10-09,5685.89,4144.84
205,喜尔美厨具站,CNY,2025-10-08,6167.74,4724.82
205,喜尔美厨具站,CNY,2025-10-07,6167.74,5858.34
205,喜尔美厨具站,CNY,2025-10-06,6167.74,-1405.78
205,喜尔美厨具站,CNY,2025-10-05,6167.74,4549.21
205,喜尔美厨具站,CNY,2025-10-04,6167.74,4449.17
205,喜尔美厨具站,CNY,2025-10-03,6167.74,4439.66
205,喜尔美厨具站,CNY,2025-10-02,6167.74,4333.84
205,喜尔美厨具站,CNY,2025-10-01,6167.74,3479.48
205,喜尔美厨具站,CNY,2025-09-30,5638.49,3920.83
205,喜尔美厨具站,CNY,2025-09-29,5644.49,4212.57
205,喜尔美厨具站,CNY,2025-09-28,5644.49,3930.16
205,喜尔美厨具站,CNY,2025-09-27,5644.49,3784.19
205,喜尔美厨具站,CNY,2025-09-26,5644.49,3810.26
205,喜尔美厨具站,CNY,2025-09-25,5644.49,3938.5
205,喜尔美厨具站,CNY,2025-09-24,5644.49,4002.52
205,喜尔美厨具站,CNY,2025-09-23,5644.49,4020.87
205,喜尔美厨具站,CNY,2025-09-22,5644.49,4035.38
205,喜尔美厨具站,CNY,2025-09-21,5644.49,3395.29
205,喜尔美厨具站,CNY,2025-09-20,5644.49,4180.64
205,喜尔美厨具站,CNY,2025-09-19,5644.49,4097.29
205,喜尔美厨具站,CNY,2025-09-18,5644.49,3666.1
205,喜尔美厨具站,CNY,2025-09-17,5644.49,2884.58
205,喜尔美厨具站,CNY,2025-09-16,5644.49,2787.08
205,喜尔美厨具站,CNY,2025-09-15,5644.49,3905.65
205,喜尔美厨具站,CNY,2025-09-14,5644.49,4134.86
205,喜尔美厨具站,CNY,2025-09-13,5644.49,3784.29
205,喜尔美厨具站,CNY,2025-09-12,5644.49,3980.12
205,喜尔美厨具站,CNY,2025-09-11,5644.49,4060.92
205,喜尔美厨具站,CNY,2025-09-10,5644.49,3825.07
205,喜尔美厨具站,CNY,2025-09-09,5644.49,4040.03
205,喜尔美厨具站,CNY,2025-09-08,5644.49,3774.26
205,喜尔美厨具站,CNY,2025-09-07,5644.49,3749.9
205,喜尔美厨具站,CNY,2025-09-06,5644.49,4014.68
205,喜尔美厨具站,CNY,2025-09-05,5644.49,4280.59
205,喜尔美厨具站,CNY,2025-09-04,5644.49,4168.17
205,喜尔美厨具站,CNY,2025-09-03,5644.49,4103.43
205,喜尔美厨具站,CNY,2025-09-02,5644.49,4094.27
205,喜尔美厨具站,CNY,2025-09-01,5644.49,4161.51
208,科宁达站,CNY,2026-01-13,671.93,655.69
208,科宁达站,CNY,2026-01-12,671.93,653.77
208,科宁达站,CNY,2026-01-11,671.93,658.68
208,科宁达站,CNY,2026-01-10,671.93,657.06
208,科宁达站,CNY,2026-01-09,671.93,655
208,科宁达站,CNY,2026-01-08,671.93,643.13
208,科宁达站,CNY,2026-01-07,671.93,657.72
208,科宁达站,CNY,2026-01-06,671.93,682.57
208,科宁达站,CNY,2026-01-05,671.93,659.79
208,科宁达站,CNY,2026-01-04,671.93,654.04
208,科宁达站,CNY,2026-01-03,671.93,654.28
208,科宁达站,CNY,2026-01-02,671.93,502.12
208,科宁达站,CNY,2026-01-01,671.93,371.33
208,科宁达站,CNY,2025-12-31,715.69,462.62
208,科宁达站,CNY,2025-12-30,715.69,697.53
208,科宁达站,CNY,2025-12-29,715.69,695.95
208,科宁达站,CNY,2025-12-28,715.69,700.67
208,科宁达站,CNY,2025-12-27,715.69,698.39
208,科宁达站,CNY,2025-12-26,715.69,698.22
208,科宁达站,CNY,2025-12-25,715.69,701.58
208,科宁达站,CNY,2025-12-24,715.69,698.79
208,科宁达站,CNY,2025-12-23,715.69,699.02
208,科宁达站,CNY,2025-12-22,715.69,677.16
208,科宁达站,CNY,2025-12-21,715.69,699.82
208,科宁达站,CNY,2025-12-20,715.69,697.15
208,科宁达站,CNY,2025-12-19,715.69,695.95
208,科宁达站,CNY,2025-12-18,715.69,698.74
208,科宁达站,CNY,2025-12-17,715.69,699.44
208,科宁达站,CNY,2025-12-16,715.69,696.52
208,科宁达站,CNY,2025-12-15,715.69,702.09
208,科宁达站,CNY,2025-12-14,715.69,700.24
